City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
285,Borborema,BR,2021-04-10 00:48:31,-21.6197,-49.0736,292.16,55,0,3.41
286,Tugulym,RU,2021-04-10 00:48:32,57.0591,64.6425,274.15,86,0,3.0
287,Buraydah,SA,2021-04-10 00:48:33,26.326,43.975,300.15,39,40,5.66
288,Moerai,PF,2021-04-10 00:48:35,-22.4333,-151.3333,299.3,64,100,5.05
289,San Matias,BO,2021-04-10 00:48:36,-16.3667,-58.4,299.2,75,65,2.04
290,Yerbogachen,RU,2021-04-10 00:48:38,61.2767,108.0108,260.14,79,7,4.01
291,Asosa,ET,2021-04-10 00:48:39,10.0667,34.5333,295.06,13,10,1.11
292,Monte Alegre,BR,2021-04-10 00:48:41,-2.0078,-54.0692,297.5,83,98,1.42
293,Muravlenko,RU,2021-04-10 00:48:42,63.7898,74.523,274.45,99,100,7.42
294,Ahuimanu,US,2021-04-10 00:48:43,21.4447,-157.8378,300.15,60,40,5.14
295,Woodward,US,2021-04-10 00:48:45,36.4337,-99.3904,286.15,57,1,8.75
296,Jacareacanga,BR,2021-04-10 00:48:46,-6.2222,-57.7528,297.67,81,19,0.62
297,Port Augusta,AU,2021-04-10 00:48:47,-32.5,137.7667,290.15,72,90,8.75
298,Quang Ngai,VN,2021-04-10 00:48:49,15.1167,108.8,299.46,76,17,1.91
299,Snasa,NO,2021-04-10 00:48:50,64.2457,12.3778,272.08,96,100,3.02
300,Arroio Grande,BR,2021-04-10 00:48:52,-32.2375,-53.0869,293.64,86,87,1.88
301,Karratha,AU,2021-04-10 00:48:53,-20.7377,116.8463,302.96,68,13,7.19
302,Anacortes,US,2021-04-10 00:48:55,48.5126,-122.6127,282.15,61,1,4.63
303,Javornik,CZ,2021-04-10 00:48:56,50.3908,17.0027,279.26,73,100,3.32
304,Alindao,CF,2021-04-10 00:48:58,5.0267,21.2088,295.05,83,85,0.11
305,Margate,GB,2021-04-10 00:45:21,51.3813,1.3862,279.82,81,100,1.79
306,Saskylakh,RU,2021-04-10 00:49:01,71.9167,114.0833,250.68,97,73,0.58
307,Baykit,RU,2021-04-10 00:49:02,61.67,96.37,265.49,85,18,0.48
308,Dongsheng,CN,2021-04-10 00:49:04,39.8161,109.9776,281.91,56,87,6.84
